,User,Influence_Score
253,MirShah86664012,0
254,Misunderstood4x,0
255,Mknight241,0
256,MoYusuf11,0
257,Mobeen_Afzal10,0
258,Monthira_Yo,0
259,MrBusby4o8,0
260,MrC2daG,0
261,MulchandPatel3,0
262,Munash3_,0
263,MzlalaHall21,0
264,N8Mozaik,5243
265,NNuakoh,0
266,NasseemTheDream,0
267,NastyM17,0
268,Nelsonfor2020,0
269,NeverSleepsNet,9979
270,NewSDLiveEra,0
271,NiaJaxWWE,0
272,Noobgaming85,0
273,Numba1Jerm,0
274,OFFICALD0TZ,0
275,OldackB,0
276,OnlineRWebsite,0
277,Only1KyngNeezy,0
278,PISARAM1,0
279,PWsSickest,0
280,PasDeRemede,0
281,Paulthewall61,0
282,PhakediYoung,0
283,PhenomenalOmega,0
284,PhtevenMackenz1,0
285,PintSizedDarlin,0
286,PippinMatt222,0
287,PornoAnime,0
288,PrasannaViswan1,0
289,Preet33665399,0
290,Prem56327034,0
291,ProfessorLindy,0
292,PuleTshabalala7,0
293,QShots14,0
294,Quasar56_,0
295,QueenOfCraps,0
296,Quentin_QLF,0
297,RESPECTPUNK434,0
298,RIDEBLOODSNGUTS,0
299,RKellyDenouncer,0
300,Rachel_Struck1,0
301,RadioInfluence,852
302,Raghuve38647282,0
303,RahiTwoCents,52878
304,Rakmitha,0
305,Rampaiger18,0
306,RampaigerReal,0
307,Ranaram02206352,0
308,Randyorton280,0
309,RashardHunter23,0
310,Rasheed_Buie,0
311,RavishingAnton,0
312,RavishingDeanee,0
313,RawIsBreakfast,0
314,Raw_Wrestle,0
315,RealALivingston,0
316,Real_XavierJ34,0
317,RebeccaReid29,0
318,ReggyGooddayinc,0
319,Reignsgirl2012,0
320,ReneeJ1928,0
321,RespectRReigns,0
322,RevivalistN,0
323,Richard80065394,0
324,RingsidePodcast,0
325,RisingSiren,0
326,RobKovach999,0
327,Robert_J1,0
328,Rockychristoph,0
329,RomanRe34273412,0
330,RomanReignsdeep,0
331,RomanRiegnsWWE,0
332,RomanSasha98,0
333,Romantheist,0
334,RonnieBoojie,0
335,RoughHouseSGW,0
336,SDVJ_0786,0
337,SSFlipWrestling,0
338,Saaadiiiiiee,0
339,Sabrina01449452,0
340,SacredArtGaming,0
341,SakibArain,0
342,SalmanAl_Khaldi,0
343,Sammystalksyou,0
344,SaneleSeyda,0
345,Sarah13392972,0
346,Sarahgutowski3,0
347,SarahnChile,0
348,ScottBudget,0
349,ScottRunt,0
350,ScraemQueenss,0
351,Sebxpendable,0
352,SeductorasTeam,0
353,SelinaBedasi,0
354,ShawnXRollinsP1,0
355,ShellshockPrime,0
356,ShepardTori,0
357,SimphiweSimilo,0
358,Sitaram71696042,0
359,SlakeOmar,0
